{'loss': 2.5236, 'learning_rate': 0.00019201560468140442, 'epoch': 1.0}
{'loss': 2.0933, 'learning_rate': 0.00018403120936280886, 'epoch': 2.0}
{'loss': 1.8945, 'learning_rate': 0.0001760468140442133, 'epoch': 2.99}
{'loss': 1.7373, 'learning_rate': 0.0001680624187256177, 'epoch': 3.99}
{'loss': 1.6047, 'learning_rate': 0.0001600780234070221, 'epoch': 4.99}
{'loss': 1.4788, 'learning_rate': 0.00015209362808842652, 'epoch': 5.99}
{'loss': 1.3782, 'learning_rate': 0.00014410923276983096, 'epoch': 6.99}
{'loss': 1.2656, 'learning_rate': 0.0001361248374512354, 'epoch': 7.98}
{'loss': 1.1788, 'learning_rate': 0.0001281404421326398, 'epoch': 8.98}
{'loss': 1.0859, 'learning_rate': 0.00012015604681404422, 'epoch': 9.98}
{'loss': 1.0079, 'learning_rate': 0.00011217165149544863, 'epoch': 10.98}
{'loss': 0.9326, 'learning_rate': 0.00010418725617685306, 'epoch': 11.98}
{'loss': 0.8673, 'learning_rate': 9.620286085825748e-05, 'epoch': 12.97}
{'loss': 0.8054, 'learning_rate': 8.82184655396619e-05, 'epoch': 13.97}
{'loss': 0.7431, 'learning_rate': 8.023407022106633e-05, 'epoch': 14.97}
{'loss': 0.689, 'learning_rate': 7.224967490247075e-05, 'epoch': 15.97}
{'loss': 0.6421, 'learning_rate': 6.426527958387517e-05, 'epoch': 16.97}
{'loss': 0.5978, 'learning_rate': 5.628088426527959e-05, 'epoch': 17.96}
{'loss': 0.5599, 'learning_rate': 4.829648894668401e-05, 'epoch': 18.96}
{'loss': 0.5249, 'learning_rate': 4.0312093628088426e-05, 'epoch': 19.96}
{'loss': 0.4978, 'learning_rate': 3.232769830949285e-05, 'epoch': 20.96}
{'loss': 0.4714, 'learning_rate': 2.4343302990897272e-05, 'epoch': 21.96}
{'loss': 0.4493, 'learning_rate': 1.635890767230169e-05, 'epoch': 22.96}
{'loss': 0.4288, 'learning_rate': 8.374512353706112e-06, 'epoch': 23.95}
{'loss': 0.4192, 'learning_rate': 3.901170351105332e-07, 'epoch': 24.95}
