{'loss': 3.0591, 'learning_rate': 1.9201560468140443e-05, 'epoch': 1.0}
{'loss': 2.569, 'learning_rate': 1.8403120936280883e-05, 'epoch': 2.0}
{'loss': 2.4056, 'learning_rate': 1.7604681404421328e-05, 'epoch': 2.99}
{'loss': 2.3069, 'learning_rate': 1.680624187256177e-05, 'epoch': 3.99}
{'loss': 2.235, 'learning_rate': 1.6007802340702213e-05, 'epoch': 4.99}
{'loss': 2.1713, 'learning_rate': 1.5209362808842654e-05, 'epoch': 5.99}
{'loss': 2.1418, 'learning_rate': 1.4410923276983095e-05, 'epoch': 6.99}
{'loss': 2.0856, 'learning_rate': 1.361248374512354e-05, 'epoch': 7.98}
{'loss': 2.0588, 'learning_rate': 1.281404421326398e-05, 'epoch': 8.98}
{'loss': 2.0176, 'learning_rate': 1.2015604681404423e-05, 'epoch': 9.98}
{'loss': 1.9926, 'learning_rate': 1.1217165149544864e-05, 'epoch': 10.98}
{'loss': 1.9688, 'learning_rate': 1.0418725617685306e-05, 'epoch': 11.98}
{'loss': 1.9468, 'learning_rate': 9.620286085825749e-06, 'epoch': 12.97}
{'loss': 1.9314, 'learning_rate': 8.82184655396619e-06, 'epoch': 13.97}
{'loss': 1.9053, 'learning_rate': 8.023407022106633e-06, 'epoch': 14.97}
{'loss': 1.8927, 'learning_rate': 7.224967490247074e-06, 'epoch': 15.97}
{'loss': 1.8762, 'learning_rate': 6.426527958387517e-06, 'epoch': 16.97}
{'loss': 1.8625, 'learning_rate': 5.628088426527959e-06, 'epoch': 17.96}
{'loss': 1.8475, 'learning_rate': 4.829648894668401e-06, 'epoch': 18.96}
{'loss': 1.8382, 'learning_rate': 4.031209362808843e-06, 'epoch': 19.96}
{'loss': 1.8379, 'learning_rate': 3.232769830949285e-06, 'epoch': 20.96}
{'loss': 1.8265, 'learning_rate': 2.434330299089727e-06, 'epoch': 21.96}
{'loss': 1.825, 'learning_rate': 1.635890767230169e-06, 'epoch': 22.96}
{'loss': 1.8126, 'learning_rate': 8.374512353706113e-07, 'epoch': 23.95}
{'loss': 1.8099, 'learning_rate': 3.901170351105332e-08, 'epoch': 24.95}
