{'loss': 3.3421, 'learning_rate': 1.9333798233379826e-05, 'epoch': 1.0}
{'loss': 2.6497, 'learning_rate': 1.8667596466759647e-05, 'epoch': 2.0}
{'loss': 2.47, 'learning_rate': 1.800139470013947e-05, 'epoch': 3.0}
{'loss': 2.3637, 'learning_rate': 1.7335192933519295e-05, 'epoch': 4.0}
{'loss': 2.2846, 'learning_rate': 1.666899116689912e-05, 'epoch': 5.0}
{'loss': 2.2189, 'learning_rate': 1.6002789400278943e-05, 'epoch': 6.0}
{'loss': 2.1739, 'learning_rate': 1.5336587633658764e-05, 'epoch': 7.0}
{'loss': 2.125, 'learning_rate': 1.4670385867038588e-05, 'epoch': 7.99}
{'loss': 2.087, 'learning_rate': 1.4004184100418412e-05, 'epoch': 8.99}
{'loss': 2.0503, 'learning_rate': 1.3337982333798235e-05, 'epoch': 9.99}
{'loss': 2.0161, 'learning_rate': 1.2671780567178057e-05, 'epoch': 10.99}
{'loss': 1.9919, 'learning_rate': 1.200557880055788e-05, 'epoch': 11.99}
{'loss': 1.9628, 'learning_rate': 1.1339377033937704e-05, 'epoch': 12.99}
{'loss': 1.9383, 'learning_rate': 1.0673175267317528e-05, 'epoch': 13.99}
{'loss': 1.9182, 'learning_rate': 1.000697350069735e-05, 'epoch': 14.99}
{'loss': 1.904, 'learning_rate': 9.340771734077175e-06, 'epoch': 15.99}
{'loss': 1.8835, 'learning_rate': 8.674569967456997e-06, 'epoch': 16.99}
{'loss': 1.8698, 'learning_rate': 8.00836820083682e-06, 'epoch': 17.99}
{'loss': 1.8536, 'learning_rate': 7.3421664342166445e-06, 'epoch': 18.99}
{'loss': 1.8385, 'learning_rate': 6.675964667596467e-06, 'epoch': 19.99}
{'loss': 1.8309, 'learning_rate': 6.00976290097629e-06, 'epoch': 20.99}
{'loss': 1.8161, 'learning_rate': 5.343561134356114e-06, 'epoch': 21.98}
{'loss': 1.8042, 'learning_rate': 4.677359367735937e-06, 'epoch': 22.98}
{'loss': 1.8001, 'learning_rate': 4.01115760111576e-06, 'epoch': 23.98}
{'loss': 1.789, 'learning_rate': 3.3449558344955836e-06, 'epoch': 24.98}
{'loss': 1.7808, 'learning_rate': 2.678754067875407e-06, 'epoch': 25.98}
{'loss': 1.7793, 'learning_rate': 2.01255230125523e-06, 'epoch': 26.98}
{'loss': 1.7701, 'learning_rate': 1.3463505346350537e-06, 'epoch': 27.98}
{'loss': 1.7685, 'learning_rate': 6.801487680148769e-07, 'epoch': 28.98}
{'loss': 1.7656, 'learning_rate': 1.3947001394700141e-08, 'epoch': 29.98}
